"Key","Title","Description","CategoryGroupID"
"PV31  ","Limburg (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Grenswijziging per 01-01-2018:
- Ontvangen van Buitenland (PV98), 16 hectare met 0 woningen en 0 inwoners
... Eijsden-Margraten (GM1903) ontvangt van Buitenland (GM0998), 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2018:
- Over naar Buitenland (PV98), 5 hectare met 0 woningen en 0 inwoners
... Over van Eijsden-Margraten (GM1903) naar Buitenland (GM0998), 5 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2016:
- Over naar Gelderland (PV25), 0 hectare met 0 woningen en 5 inwoners
... Over van Mook en Middelaar (GM0944) naar Berg en Dal (GM1945), 0 hectare met 0 woningen en 5 inwoners

",
"CR01  ","Oost-Groningen (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2018:
- Over naar Overig Groningen (CR03), 8025 hectare met 5400 woningen en 12013 inwoners
... Menterwolde (GM1987) wordt opgeheven en gaat over naar Midden-Groningen (GM1952), 8025 hectare met 5400 woningen en 12013 inwoners

",
"CR02  ","Delfzijl en omgeving (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR03  ","Overig Groningen (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2021:
- Over naar Noord-Friesland (CR04), 25 hectare met 0 woningen en 0 inwoners
... Over van Het Hogeland (GM1966) naar Schiermonnikoog (GM0088), 25 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2018:
- Ontvangen van Oost-Groningen (CR01), 8025 hectare met 5400 woningen en 12013 inwoners
... Midden-Groningen (GM1952) ontvangt van het opgeheven Menterwolde (GM1987), 8025 hectare met 5400 woningen en 12013 inwoners

Grenswijziging per 01-01-2009:
- Ontvangen van Noord-Drenthe (CR07), 3 hectare met 0 woningen en 0 inwoners
... Groningen (GM0014) ontvangt van Noordenveld (GM1699), 3 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006:
- Over naar Noord-Friesland (CR04), 61 hectare met 0 woningen en 0 inwoners
... Over van Eemsmond (GM1651) naar Schiermonnikoog (GM0088), 61 hectare met 0 woningen en 0 inwoners

",
"CR04  ","Noord-Friesland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2021:
- Ontvangen van Overig Groningen (CR03), 25 hectare met 0 woningen en 0 inwoners
... Schiermonnikoog (GM0088) ontvangt van Het Hogeland (GM1966), 25 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2019:
- Over naar Zuidwest-Friesland (CR05), 75 hectare met 3 woningen en 0 inwoners
... Over van Waadhoeke (GM1949) naar Súdwest-Fryslân (GM1900), 75 hectare met 3 woningen en 0 inwoners

Grenswijziging per 01-01-2018:
- Over naar Zuidwest-Friesland (CR05), 6738 hectare met 2325 woningen en 5411 inwoners
... Littenseradiel (GM0140) wordt opgeheven en gaat gedeeltelijk over naar Súdwest-Fryslân (GM1900), 6738 hectare met 2325 woningen en 5411 inwoners

Grenswijziging per 01-01-2016:
- Over naar Zuidoost-Friesland (CR06), 0 hectare met 0 woningen en 2 inwoners
... Over van Leeuwarden (GM0080) naar Heerenveen (GM0074), 0 hectare met 0 woningen en 2 inwoners

Grenswijziging per 01-01-2014:
- Over naar Zuidoost-Friesland (CR06), 4561 hectare met 2614 woningen en 6018 inwoners
... Boarnsterhim (GM0055) wordt opgeheven en gaat gedeeltelijk over naar Heerenveen (GM0074), 4561 hectare met 2614 woningen en 6018 inwoners
- Over naar Zuidwest-Friesland (CR05), 2998 hectare met 981 woningen en 2436 inwoners
... Boarnsterhim (GM0055) wordt opgeheven en gaat gedeeltelijk over naar De Friese Meren (GM1921), 531 hectare met 277 woningen en 783 inwoners
... Boarnsterhim (GM0055) wordt opgeheven en gaat gedeeltelijk over naar Súdwest-Fryslân (GM1900), 2467 hectare met 704 woningen en 1653 inwoners

Grenswijziging per 01-01-2006:
- Ontvangen van Overig Groningen (CR03), 61 hectare met 0 woningen en 0 inwoners
... Schiermonnikoog (GM0088) ontvangt van Eemsmond (GM1651), 61 hectare met 0 woningen en 0 inwoners

",
"CR05  ","Zuidwest-Friesland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2019:
- Ontvangen van Noord-Friesland (CR04), 75 hectare met 3 woningen en 0 inwoners
... Súdwest-Fryslân (GM1900) ontvangt van Waadhoeke (GM1949), 75 hectare met 3 woningen en 0 inwoners

Grenswijziging per 01-01-2018:
- Ontvangen van Noord-Friesland (CR04), 6738 hectare met 2325 woningen en 5411 inwoners
... Súdwest-Fryslân (GM1900) ontvangt een gedeelte van het opgeheven Littenseradiel (GM0140), 6738 hectare met 2325 woningen en 5411 inwoners

Grenswijziging per 01-01-2014:
- Ontvangen van Noord-Friesland (CR04), 2998 hectare met 981 woningen en 2436 inwoners
... De Friese Meren (GM1921) ontvangt een gedeelte van het opgeheven Boarnsterhim (GM0055), 531 hectare met 277 woningen en 783 inwoners
... Súdwest-Fryslân (GM1900) ontvangt een gedeelte van het opgeheven Boarnsterhim (GM0055), 2467 hectare met 704 woningen en 1653 inwoners
- Ontvangen van Zuidoost-Friesland (CR06), 17549 hectare met 11785 woningen en 26921 inwoners
... De Friese Meren (GM1921) ontvangt een gedeelte van het opgeheven Skarsterlân (GM0051), 17549 hectare met 11785 woningen en 26921 inwoners

",
"CR06  ","Zuidoost-Friesland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2016:
- Ontvangen van Noord-Friesland (CR04), 0 hectare met 0 woningen en 2 inwoners
... Heerenveen (GM0074) ontvangt van Leeuwarden (GM0080), 0 hectare met 0 woningen en 2 inwoners

Grenswijziging per 01-01-2014:
- Ontvangen van Noord-Friesland (CR04), 4561 hectare met 2614 woningen en 6018 inwoners
... Heerenveen (GM0074) ontvangt een gedeelte van het opgeheven Boarnsterhim (GM0055), 4561 hectare met 2614 woningen en 6018 inwoners
- Over naar Zuidwest-Friesland (CR05), 17549 hectare met 11785 woningen en 26921 inwoners
... Skarsterlân (GM0051) wordt opgeheven en gaat gedeeltelijk over naar De Friese Meren (GM1921), 17549 hectare met 11785 woningen en 26921 inwoners

",
"CR07  ","Noord-Drenthe (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2009:
- Over naar Overig Groningen (CR03), 3 hectare met 0 woningen en 0 inwoners
... Over van Noordenveld (GM1699) naar Groningen (GM0014), 3 hectare met 0 woningen en 0 inwoners

",
"CR08  ","Zuidoost-Drenthe (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR09  ","Zuidwest-Drenthe (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR10  ","Noord-Overijssel (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR11  ","Zuidwest-Overijssel (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2010:
- Over naar Twente (CR12), 6 hectare met 0 woningen en 0 inwoners
... Over van Deventer (GM0150) naar Rijssen-Holten (GM1742), 6 hectare met 0 woningen en 0 inwoners

",
"CR12  ","Twente (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2010:
- Ontvangen van Zuidwest-Overijssel (CR11), 6 hectare met 0 woningen en 0 inwoners
... Rijssen-Holten (GM1742) ontvangt van Deventer (GM0150), 6 hectare met 0 woningen en 0 inwoners

",
"CR13  ","Veluwe (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR14  ","Achterhoek (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2007:
- Ontvangen van Arnhem/Nijmegen (CR15), 11 hectare met 1 woning en 3 inwoners
... Montferland (GM1955) ontvangt van Zevenaar (GM0299), 11 hectare met 1 woning en 3 inwoners

Grenswijziging per 01-01-2005:
- Ontvangen van Arnhem/Nijmegen (CR15) 3161 hectare met 6232 woningen en 16875 inwoners
... Montferland (GM1955) ontvangt van het opgeheven Didam (GM0218), 3161 hectare met 6232 woningen en 16875 inwoners
- Over naar Arnhem/Nijmegen (CR15), 28 hectare met 0 woningen en 0 inwoners
... Bergh (GM0207) wordt opgeheven en gaat gedeeltelijk over naar Zevenaar (GM0299), 28 hectare met 0 woningen en 0 inwoners

",
"CR15  ","Arnhem/Nijmegen (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2016:
- Ontvangen van Noord-Limburg (CR37), 0 hectare met 0 woningen en 5 inwoners
... Berg en Dal (GM1945) ontvangt van Mook en Middelaar (GM0944), 0 hectare met 0 woningen en 5 inwoners

Grenswijziging per 01-01-2007:
- Over naar Achterhoek (CR14), 11 hectare met 1 woning en 3 inwoners
... Over van Zevenaar (GM0299) naar Montferland (GM1955), 11 hectare met 1 woning en 3 inwoners

Grenswijziging per 01-01-2005:
- Ontvangen van Achterhoek (CR14), 28 hectare met 0 woningen en 0 inwoners
... Zevenaar (GM0299) ontvangt van het opgeheven Bergh (GM0207), 28 hectare met 0 woningen en 0 inwoners
- Over naar Achterhoek (CR14), 3161 hectare met 6232 woningen en 16875 inwoners
... Didam (GM0218) wordt opgeheven en gaat over naar Montferland (GM1955), 3161 hectare met 6232 woningen en 16875 inwoners

",
"CR16  ","Zuidwest-Gelderland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR17  ","Utrecht (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2019:
- Ontvangen van Zuidoost-Zuid-Holland (CR30), 10721 hectare met 14649 woningen en 35268 inwoners
... Vijfheerenlanden (GM1961) ontvangt van het opgeheven Leerdam (GM0545), 3376 hectare met 8988 woningen en 21248 inwoners
... Vijfheerenlanden (GM1961) ontvangt van het opgeheven Zederik (GM0707), 7345 hectare met 5661 woningen en 14020 inwoners

Grenswijziging per 01-01-2012:
- Ontvangen van Het Gooi en Vechtstreek (CR24), 0 hectare met 0 woningen en 4 inwoners
... Stichtse Vecht (GM1904) ontvangt van Wijdemeren (GM1696), 0 hectare met 0 woningen en 4 inwoners

Grenswijziging per 01-01-2002:
- Ontvangen van Zuidoost-Zuid-Holland (CR30), 3962 hectare met 7518 woningen en 19443 inwoners
... Vianen (GM0620) wordt overgeheveld van provincie, 3962 hectare met 7518 woningen en 19443 inwoners
- Over naar Het Gooi en Vechtstreek (CR24), 1533 hectare met 3677 woningen en 8902 inwoners
... Loosdrecht (GM0330) wordt opgeheven en gaat over naar Wijdemeren (GM1696), 1533 hectare met 3677 woningen en 8902 inwoners

",
"CR18  ","Kop van Noord-Holland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR19  ","Alkmaar en omgeving (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2015:
- Ontvangen van Groot-Amsterdam (CR23), 1994 hectare met 2593 woningen en 6406 inwoners
... Alkmaar (GM0361) ontvangt van het opgeheven Graft-De Rijp (GM0365), 1994 hectare met 2593 woningen en 6406 inwoners

Grenswijziging per 01-01-2002:
- Over naar Ijmond (CR20), 1908 hectare met 4339 woningen en 11847 inwoners
... Akersloot (GM0360) wordt opgeheven en gaat over naar Castricum (GM0383), 1001 hectare met 1929 woningen en 5174 inwoners
... Limmen (GM0418) wordt opgeheven en gaat over naar Castricum (GM0383), 907 hectare met 2410 woningen en 6673 inwoners

",
"CR20  ","IJmond (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2012:
- Over naar Agglomeratie Haarlem (CR21), 1 hectare met 0 woningen en 0 inwoners.
... Over van Velsen (GM0453) naar Haarlemmerliede en Spaarnwoude (GM0393), 1 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2009:
- Ontvangen van Agglomeratie Haarlem (CR21), 2 hectare met 0 woningen en 0 inwoners
... Velsen (GM0453) ontvangt van Haarlem (GM0392), 2 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2004:
- Over naar Agglomeratie Haarlem (CR21), 1 hectare met 0 woningen en 0 inwoners
... Over van Velsen (GM0453) naar Bloemendaal (GM0377), 1 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2002:
- Ontvangen van Alkmaar en Omgeving (CR19), 1908 hectare met 4339 woningen en 11847 inwoners
... Castricum (GM0383) ontvangt van het opgeheven Akersloot (GM0360), 1001 hectare met 1929 woningen en 5174 inwoners
... Castricum (GM0383) ontvangt van het opgeheven Limmen (GM0418), 907 hectare met 2410 woningen en 6673 inwoners

",
"CR21  ","Agglomeratie Haarlem (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2019:
- Over naar Groot-Amsterdam (CR23), 1922 hectare met 2410 woningen en 6167 inwoners
... Haarlemmerliede en Spaarnwoude (GM0393) wordt opgeheven en gaat over naar Haarlemmermeer (GM0394), 1922 hectare met 2410 woningen en 6167 inwoners

Grenswijziging per 01-01-2013:
- Ontvangen van Agglomeratie Leiden en Bollenstreek (CR25), 2 hectare met 0 woningen en 0 inwoners
... Bloemendaal (GM0377) ontvangt van Hillegom (GM0534), 2 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2012:
- Ontvangen van IJmond (CR20), 1 hectare met 0 woningen en 0 inwoners
... Haarlemmerliede en Spaarnwoude (GM0393) ontvangt van Velsen (GM0453), 1 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2009:
- Over naar Ijmond (CR20), 2 hectare met 0 woningen en 0 inwoners
... Over van Haarlem (GM0392) naar Velsen (GM0453), 2 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2004:
- Ontvangen van Ijmond (CR20), 1 hectare met 0 woningen en 0 inwoners
... Bloemendaal (GM0377) ontvangt van Velsen (GM0453), 1 hectare met 0 woningen en 0 inwoners

",
"CR22  ","Zaanstreek (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
